CarPlate,Price,Company,Number,Number of digits,Front Characters,Suffix characters,Total number of characters,Same digit througout,Sub repeated digits
SLH95S,SOLD,Carplate,95,2,SLH,S,6,0,0
SDS7228S,SOLD,Carplate,7228,4,SDS,S,8,0,1
SDW60H,SOLD,Carplate,60,2,SDW,H,6,0,0
SLR123S,SOLD,Carplate,123,3,SLR,S,7,0,0
SKR53Y,SOLD,Carplate,53,2,SKR,Y,6,0,0
SLE99Y,SOLD,Carplate,99,2,SLE,Y,6,1,1
SMG858B,SOLD,Carplate,858,3,SMG,B,7,0,0
SKP2E,SOLD,Carplate,2,1,SKP,E,5,0,0
SLS990A,SOLD,Carplate,990,3,SLS,A,7,0,1
SJJ2288C,SOLD,Carplate,2288,4,SJJ,C,8,0,1
SFC168M,SOLD,Carplate,168,3,SFC,M,7,0,0
SLG83G,SOLD,Carplate,83,2,SLG,G,6,0,0
EY9000A,SOLD,Carplate,9000,4,EY,A,7,0,1
GK3B,SOLD,Carplate,3,1,GK,B,4,0,0
SMZ222K,SOLD,Carplate,222,3,SMZ,K,7,1,1
SBR919G,SOLD,Carplate,919,3,SBR,G,7,0,0
SLW55D,SOLD,Carplate,55,2,SLW,D,6,1,1
EJ8811L,SOLD,Carplate,8811,4,EJ,L,7,0,1
SLG1111C,SOLD,Carplate,1111,4,SLG,C,8,1,1
SFP6666J,SOLD,Carplate,6666,4,SFP,J,8,1,1
SKL3Z,SOLD,Carplate,3,1,SKL,Z,5,0,0
EE3311Y,SOLD,Carplate,3311,4,EE,Y,7,0,1
SLT6868B,SOLD,Carplate,6868,4,SLT,B,8,0,0
SKX24A,SOLD,Carplate,24,2,SKX,A,6,0,0
SJS99Y,SOLD,Carplate,99,2,SJS,Y,6,1,1
GBB2K,SOLD,Carplate,2,1,GBB,K,5,0,0
SLQ666Y,SOLD,Carplate,666,3,SLQ,Y,7,1,1
ET6888B,SOLD,Carplate,6888,4,ET,B,7,0,1
SMR1111H,SOLD,Carplate,1111,4,SMR,H,8,1,1
SJE10B,SOLD,Carplate,10,2,SJE,B,6,0,0
SKL889J,SOLD,Carplate,889,3,SKL,J,7,0,1
SLM9000E,SOLD,Carplate,9000,4,SLM,E,8,0,1
SMS8869D,SOLD,Carplate,8869,4,SMS,D,8,0,1
SF58C,SOLD,Carplate,58,2,SF,C,5,0,0
SKK3D,SOLD,Carplate,3,1,SKK,D,5,0,0
SMJ2222G,SOLD,Carplate,2222,4,SMJ,G,8,1,1
EH80S,SOLD,Carplate,80,2,EH,S,5,0,0
SLV93Z,SOLD,Carplate,93,2,SLV,Z,6,0,0
SME11M,SOLD,Carplate,11,2,SME,M,6,1,1
SKM44A,SOLD,Carplate,44,2,SKM,A,6,1,1
SMW678U,SOLD,Carplate,678,3,SMW,U,7,0,0
SJQ666X,SOLD,Carplate,666,3,SJQ,X,7,1,1
SF44S,SOLD,Carplate,44,2,SF,S,5,1,1
SFT777R,SOLD,Carplate,777,3,SFT,R,7,1,1
SFS8288M,SOLD,Carplate,8288,4,SFS,M,8,0,1
SJS123K,SOLD,Carplate,123,3,SJS,K,7,0,0
SCY33M,SOLD,Carplate,33,2,SCY,M,6,1,1
SJE15M,SOLD,Carplate,15,2,SJE,M,6,0,0
SFX9D,SOLD,Carplate,9,1,SFX,D,5,0,0
EM9898P,SOLD,Carplate,9898,4,EM,P,7,0,0
SMU1999Y,SOLD,Carplate,1999,4,SMU,Y,8,0,1
FJ4R,SOLD,Carplate,4,1,FJ,R,4,0,0
SFL90E,SOLD,Carplate,90,2,SFL,E,6,0,0
SMU1881C,SOLD,Carplate,1881,4,SMU,C,8,0,1
SLH222S,SOLD,Carplate,222,3,SLH,S,7,1,1
GBD3Y,SOLD,Carplate,3,1,GBD,Y,5,0,0
SMA43S,SOLD,Carplate,43,2,SMA,S,6,0,0
SJJ6969U,SOLD,Carplate,6969,4,SJJ,U,8,0,0
SLF66L,SOLD,Carplate,66,2,SLF,L,6,1,1
SFV444R,SOLD,Carplate,444,3,SFV,R,7,1,1
SJM63G,SOLD,Carplate,63,2,SJM,G,6,0,0
GBF8Z,SOLD,Carplate,8,1,GBF,Z,5,0,0
SGL3333Z,SOLD,Carplate,3333,4,SGL,Z,8,1,1
SFB444R,SOLD,Carplate,444,3,SFB,R,7,1,1
SMU80D,SOLD,Carplate,80,2,SMU,D,6,0,0
SMJ18T,SOLD,Carplate,18,2,SMJ,T,6,0,0
SKM4R,SOLD,Carplate,4,1,SKM,R,5,0,0
GU5225S,SOLD,Carplate,5225,4,GU,S,7,0,1
EK1155M,SOLD,Carplate,1155,4,EK,M,7,0,1
SFH63E,SOLD,Carplate,63,2,SFH,E,6,0,0
SGJ8881K,SOLD,Carplate,8881,4,SGJ,K,8,0,1
SGJ444S,SOLD,Carplate,444,3,SGJ,S,7,1,1
EM7765C,SOLD,Carplate,7765,4,EM,C,7,0,1
SCM1313L,SOLD,Carplate,1313,4,SCM,L,8,0,0
SMF108M,SOLD,Carplate,108,3,SMF,M,7,0,0
ET8608E,SOLD,Carplate,8608,4,ET,E,7,0,0
SR58P,SOLD,Carplate,58,2,SR,P,5,0,0
SDU68Y,SOLD,Carplate,68,2,SDU,Y,6,0,0
SDT6G,SOLD,Carplate,6,1,SDT,G,5,0,0
SJN96G,SOLD,Carplate,96,2,SJN,G,6,0,0
SDD44E,SOLD,Carplate,44,2,SDD,E,6,1,1
EF919J,SOLD,Carplate,919,3,EF,J,6,0,0
SFK31G,SOLD,Carplate,31,2,SFK,G,6,0,0
SCU77H,SOLD,Carplate,77,2,SCU,H,6,1,1
SLK789H,SOLD,Carplate,789,3,SLK,H,7,0,0
SLF8999S,SOLD,Carplate,8999,4,SLF,S,8,0,1
SKP88H,SOLD,Carplate,88,2,SKP,H,6,1,1
SMM69E,SOLD,Carplate,69,2,SMM,E,6,0,0
SDL51S,SOLD,Carplate,51,2,SDL,S,6,0,0
SLQ168T,SOLD,Carplate,168,3,SLQ,T,7,0,0
SLK8999R,SOLD,Carplate,8999,4,SLK,R,8,0,1
SMK8077P,SOLD,Carplate,8077,4,SMK,P,8,0,1
SJH22B,SOLD,Carplate,22,2,SJH,B,6,1,1
SKQ9999P,SOLD,Carplate,9999,4,SKQ,P,8,1,1
SJE338G,SOLD,Carplate,338,3,SJE,G,7,0,1
SLF1Z,SOLD,Carplate,1,1,SLF,Z,5,0,0
SKG6666Y,SOLD,Carplate,6666,4,SKG,Y,8,1,1
SLQ89M,SOLD,Carplate,89,2,SLQ,M,6,0,0
SBW45B,SOLD,Carplate,45,2,SBW,B,6,0,0
SFG666X,SOLD,Carplate,666,3,SFG,X,7,1,1
EU2180E,SOLD,Carplate,2180,4,EU,E,7,0,0
SMR555S,SOLD,Carplate,555,3,SMR,S,7,1,1
SMQ336M,SOLD,Carplate,336,3,SMQ,M,7,0,1
EH5229Z,SOLD,Carplate,5229,4,EH,Z,7,0,1
SS345E,SOLD,Carplate,345,3,SS,E,6,0,0
SJM91A,SOLD,Carplate,91,2,SJM,A,6,0,0
SKM7777Y,SOLD,Carplate,7777,4,SKM,Y,8,1,1
SLL8008X,SOLD,Carplate,8008,4,SLL,X,8,0,1
SDY555L,SOLD,Carplate,555,3,SDY,L,7,1,1
SDJ999T,SOLD,Carplate,999,3,SDJ,T,7,1,1
SLJ4U,SOLD,Carplate,4,1,SLJ,U,5,0,0
SLN23T,SOLD,Carplate,23,2,SLN,T,6,0,0
SKE11L,SOLD,Carplate,11,2,SKE,L,6,1,1
SLP777R,SOLD,Carplate,777,3,SLP,R,7,1,1
SLP333M,SOLD,Carplate,333,3,SLP,M,7,1,1
EK1515H,SOLD,Carplate,1515,4,EK,H,7,0,0
SGA77R,SOLD,Carplate,77,2,SGA,R,6,1,1
SLZ31G,SOLD,Carplate,31,2,SLZ,G,6,0,0
SGL89Z,SOLD,Carplate,89,2,SGL,Z,6,0,0
SDQ89H,SOLD,Carplate,89,2,SDQ,H,6,0,0
SMJ54M,SOLD,Carplate,54,2,SMJ,M,6,0,0
SGM111L,SOLD,Carplate,111,3,SGM,L,7,1,1
EM3030R,SOLD,Carplate,3030,4,EM,R,7,0,0
SKH31M,SOLD,Carplate,31,2,SKH,M,6,0,0
SMC250A,SOLD,Carplate,250,3,SMC,A,7,0,0
SLX888L,SOLD,Carplate,888,3,SLX,L,7,1,1
SDP666Y,SOLD,Carplate,666,3,SDP,Y,7,1,1
SN28Y,SOLD,Carplate,28,2,SN,Y,5,0,0
SFR31U,SOLD,Carplate,31,2,SFR,U,6,0,0
SMH111S,SOLD,Carplate,111,3,SMH,S,7,1,1
SDA8222X,SOLD,Carplate,8222,4,SDA,X,8,0,1
SMG100D,SOLD,Carplate,100,3,SMG,D,7,0,1
ES431E,SOLD,Carplate,431,3,ES,E,6,0,0
SKK133L,SOLD,Carplate,133,3,SKK,L,7,0,1
ET67T,SOLD,Carplate,67,2,ET,T,5,0,0
SBQ7T,SOLD,Carplate,7,1,SBQ,T,5,0,0
SDA9999G,SOLD,Carplate,9999,4,SDA,G,8,1,1
SLX11A,SOLD,Carplate,11,2,SLX,A,6,1,1
SMC5555M,SOLD,Carplate,5555,4,SMC,M,8,1,1
SCE808A,SOLD,Carplate,808,3,SCE,A,7,0,0
SLT11X,SOLD,Carplate,11,2,SLT,X,6,1,1
FS1B,SOLD,Carplate,1,1,FS,B,4,0,0
SJQ4G,SOLD,Carplate,4,1,SJQ,G,5,0,0
SMH886P,SOLD,Carplate,886,3,SMH,P,7,0,1
EV163M,SOLD,Carplate,163,3,EV,M,6,0,0
SBQ8518H,SOLD,Carplate,8518,4,SBQ,H,8,0,0
SJL1666R,SOLD,Carplate,1666,4,SJL,R,8,0,1
SJF1111G,SOLD,Carplate,1111,4,SJF,G,8,1,1
SMC93L,SOLD,Carplate,93,2,SMC,L,6,0,0
SLZ9661D,SOLD,Carplate,9661,4,SLZ,D,8,0,1
SMA5000H,SOLD,Carplate,5000,4,SMA,H,8,0,1
SDJ444C,SOLD,Carplate,444,3,SDJ,C,7,1,1
SFZ6666G,SOLD,Carplate,6666,4,SFZ,G,8,1,1
SKU1000C,SOLD,Carplate,1000,4,SKU,C,8,0,1
SLX93M,SOLD,Carplate,93,2,SLX,M,6,0,0
SKL7M,SOLD,Carplate,7,1,SKL,M,5,0,0
SJA8380B,SOLD,Carplate,8380,4,SJA,B,8,0,0
EW14E,SOLD,Carplate,14,2,EW,E,5,0,0
SLL168U,SOLD,Carplate,168,3,SLL,U,7,0,0
ES1331D,SOLD,Carplate,1331,4,ES,D,7,0,1
SLU70U,SOLD,Carplate,70,2,SLU,U,6,0,0
SLK8000Y,SOLD,Carplate,8000,4,SLK,Y,8,0,1
SJH79M,SOLD,Carplate,79,2,SJH,M,6,0,0
SLX689U,SOLD,Carplate,689,3,SLX,U,7,0,0
SLW9683G,SOLD,Carplate,9683,4,SLW,G,8,0,0
SCU66P,SOLD,Carplate,66,2,SCU,P,6,1,1
EQ37X,SOLD,Carplate,37,2,EQ,X,5,0,0
SKN6666K,SOLD,Carplate,6666,4,SKN,K,8,1,1
SLF1111H,SOLD,Carplate,1111,4,SLF,H,8,1,1
GM9A,SOLD,Carplate,9,1,GM,A,4,0,0
GBG3333J,SOLD,Carplate,3333,4,GBG,J,8,1,1
SGX8888T,SOLD,Carplate,8888,4,SGX,T,8,1,1
SFF77B,SOLD,Carplate,77,2,SFF,B,6,1,1
SKR628P,SOLD,Carplate,628,3,SKR,P,7,0,0
SGF55C,SOLD,Carplate,55,2,SGF,C,6,1,1
SLW777D,SOLD,Carplate,777,3,SLW,D,7,1,1
SLV2611R,SOLD,Carplate,2611,4,SLV,R,8,0,1
SLU6138U,SOLD,Carplate,6138,4,SLU,U,8,0,0
SJC31B,SOLD,Carplate,31,2,SJC,B,6,0,0
SKH113K,SOLD,Carplate,113,3,SKH,K,7,0,1
SDN93K,SOLD,Carplate,93,2,SDN,K,6,0,0
SDY69Z,SOLD,Carplate,69,2,SDY,Z,6,0,0
SFY18Y,SOLD,Carplate,18,2,SFY,Y,6,0,0
SCA98C,SOLD,Carplate,98,2,SCA,C,6,0,0
SGV6888S,SOLD,Carplate,6888,4,SGV,S,8,0,1
SJF306T,SOLD,Carplate,306,3,SJF,T,7,0,0
SKT288B,SOLD,Carplate,288,3,SKT,B,7,0,1
SJR6677U,SOLD,Carplate,6677,4,SJR,U,8,0,1
SDZ93Y,SOLD,Carplate,93,2,SDZ,Y,6,0,0
SKG8118A,SOLD,Carplate,8118,4,SKG,A,8,0,1
SJR23X,SOLD,Carplate,23,2,SJR,X,6,0,0
SFK2288U,SOLD,Carplate,2288,4,SFK,U,8,0,1
E8468E,SOLD,Carplate,8468,4,E,E,6,0,0
SB141R,SOLD,Carplate,141,3,SB,R,6,0,0
SJA112L,SOLD,Carplate,112,3,SJA,L,7,0,1
SDE9988S,SOLD,Carplate,9988,4,SDE,S,8,0,1
SFX128T,SOLD,Carplate,128,3,SFX,T,7,0,0
SLR8238S,SOLD,Carplate,8238,4,SLR,S,8,0,0
ED8228C,SOLD,Carplate,8228,4,ED,C,7,0,1
SGV288M,SOLD,Carplate,288,3,SGV,M,7,0,1
EQ8228J,SOLD,Carplate,8228,4,EQ,J,7,0,1
SBM178D,SOLD,Carplate,178,3,SBM,D,7,0,0
SLL6611S,SOLD,Carplate,6611,4,SLL,S,8,0,1
SLS8888K,SOLD,Carplate,8888,4,SLS,K,8,1,1
SKK93T,SOLD,Carplate,93,2,SKK,T,6,0,0
SGK8888L,SOLD,Carplate,8888,4,SGK,L,8,1,1
GN888Z,SOLD,Carplate,888,3,GN,Z,6,1,1
EN5200Z,SOLD,Carplate,5200,4,EN,Z,7,0,1
SKZ7555C,SOLD,SGCarMart,7555,4,SKZ,C,8,0,1
SJU68B,SOLD,SGCarMart,68,2,SJU,B,6,0,0
SGF88H,SOLD,SGCarMart,88,2,SGF,H,6,1,1
YM3C,SOLD,SGCarMart,3,1,YM,C,4,0,0
SMV10B,SOLD,SGCarMart,10,2,SMV,B,6,0,0
GY33R,SOLD,SGCarMart,33,2,GY,R,5,1,1
SGZ9199G,SOLD,SGCarMart,9199,4,SGZ,G,8,0,1
SMN65K,SOLD,SGCarMart,65,2,SMN,K,6,0,0
SJS43H,SOLD,SGCarMart,43,2,SJS,H,6,0,0
SS6666P,SOLD,SGCarMart,6666,4,SS,P,7,1,1
S6666P,SOLD,SGCarMart,6666,4,S,P,6,1,1
SCE128D,SOLD,SGCarMart,128,3,SCE,D,7,0,0
SBF8882M,SOLD,SGCarMart,8882,4,SBF,M,8,0,1
SGT1118A,SOLD,SGCarMart,1118,4,SGT,A,8,0,1
E61Y,SOLD,SGCarMart,61,2,E,Y,4,0,0
SFN3773M,SOLD,SGCarMart,3773,4,SFN,M,8,0,1
EY10E,SOLD,SGCarMart,10,2,EY,E,5,0,0
SNE232E,SOLD,SGCarMart,232,3,SNE,E,7,0,0
SCE218C,SOLD,SGCarMart,218,3,SCE,C,7,0,0
SBU9939Z,SOLD,SGCarMart,9939,4,SBU,Z,8,0,1
SBL10J,SOLD,SGCarMart,10,2,SBL,J,6,0,0
SJC3H,SOLD,SGCarMart,3,1,SJC,H,5,0,0
SE22K,SOLD,SGCarMart,22,2,SE,K,5,1,1
SNE66T,SOLD,SGCarMart,66,2,SNE,T,6,1,1
SCH3113K,SOLD,SGCarMart,3113,4,SCH,K,8,0,1
SNA444G,SOLD,SGCarMart,444,3,SNA,G,7,1,1
SNE1799E,SOLD,SGCarMart,1799,4,SNE,E,8,0,1
SNF23L,SOLD,SGCarMart,23,2,SNF,L,6,0,0
SGU7878U,SOLD,SGCarMart,7878,4,SGU,U,8,0,0
SNE1388H,SOLD,SGCarMart,1388,4,SNE,H,8,0,1
SNE5678U,SOLD,SGCarMart,5678,4,SNE,U,8,0,0
SND1K,SOLD,SGCarMart,1,1,SND,K,5,0,0
SBU1991Z,SOLD,SGCarMart,1991,4,SBU,Z,8,0,1
SCN4488R,SOLD,SGCarMart,4488,4,SCN,R,8,0,1
SNF2888U,SOLD,SGCarMart,2888,4,SNF,U,8,0,1
SNF786T,SOLD,SGCarMart,786,3,SNF,T,7,0,0
SNF55U,SOLD,SGCarMart,55,2,SNF,U,6,1,1
SNF108B,SOLD,SGCarMart,108,3,SNF,B,7,0,0
SLF108A,SOLD,SGCarMart,108,3,SLF,A,7,0,0
SJL6C,SOLD,SGCarMart,6,1,SJL,C,5,0,0
SE2332C,SOLD,SGCarMart,2332,4,SE,C,7,0,1
SND100H,SOLD,SGCarMart,100,3,SND,H,7,0,1
SGW11P,SOLD,SGCarMart,11,2,SGW,P,6,1,1
SJJ12U,SOLD,SGCarMart,12,2,SJJ,U,6,0,0
EZ3298S,SOLD,SGCarMart,3298,4,EZ,S,7,0,0
SLF20T,SOLD,SGCarMart,20,2,SLF,T,6,0,0
SGM400C,SOLD,SGCarMart,400,3,SGM,C,7,0,1
SKF5A,SOLD,SGCarMart,5,1,SKF,A,5,0,0
EQ2222P,SOLD,SGCarMart,2222,4,EQ,P,7,1,1
SNB48L,SOLD,SGCarMart,48,2,SNB,L,6,0,0
SLK9698C,SOLD,SGCarMart,9698,4,SLK,C,8,0,0
SJU1717E,SOLD,SGCarMart,1717,4,SJU,E,8,0,0
SBV1166J,SOLD,SGCarMart,1166,4,SBV,J,8,0,1
SKE3808K,SOLD,SGCarMart,3808,4,SKE,K,8,0,0
SNE963D,SOLD,SGCarMart,963,3,SNE,D,7,0,0
SNE766G,SOLD,SGCarMart,766,3,SNE,G,7,0,1
SX61Y,SOLD,SGCarMart,61,2,SX,Y,5,0,0
SLV66C,SOLD,SGCarMart,66,2,SLV,C,6,1,1
SNC40C,SOLD,SGCarMart,40,2,SNC,C,6,0,0
SLE736S,SOLD,SGCarMart,736,3,SLE,S,7,0,0
SNE141J,SOLD,SGCarMart,141,3,SNE,J,7,0,0
SMH20X,SOLD,SGCarMart,20,2,SMH,X,6,0,0
SKA2727M,SOLD,SGCarMart,2727,4,SKA,M,8,0,0
E2222L,SOLD,SGCarMart,2222,4,E,L,6,1,1
SCU88B,SOLD,SGCarMart,88,2,SCU,B,6,1,1
SNE469P,SOLD,SGCarMart,469,3,SNE,P,7,0,0
SKA922D,SOLD,SGCarMart,922,3,SKA,D,7,0,1
SDU7990M,SOLD,SGCarMart,7990,4,SDU,M,8,0,1
SKC336K,SOLD,SGCarMart,336,3,SKC,K,7,0,1
SML4444J,SOLD,SGCarMart,4444,4,SML,J,8,1,1
SFV3133T,SOLD,SGCarMart,3133,4,SFV,T,8,0,1
SGL68J,SOLD,SGCarMart,68,2,SGL,J,6,0,0
SGW3313Z,SOLD,SGCarMart,3313,4,SGW,Z,8,0,1
SDB8823G,SOLD,SGCarMart,8823,4,SDB,G,8,0,1
SKH7766E,SOLD,SGCarMart,7766,4,SKH,E,8,0,1
SGQ7337K,SOLD,SGCarMart,7337,4,SGQ,K,8,0,1
SGZ3883D,SOLD,SGCarMart,3883,4,SGZ,D,8,0,1
SBW250A,SOLD,SGCarMart,250,3,SBW,A,7,0,0
EM313U,SOLD,SGCarMart,313,3,EM,U,6,0,0
SJC97L,SOLD,SGCarMart,97,2,SJC,L,6,0,0
SJC5599Y,SOLD,SGCarMart,5599,4,SJC,Y,8,0,1
EZ7070E,SOLD,SGCarMart,7070,4,EZ,E,7,0,0
SJK34B,SOLD,SGCarMart,34,2,SJK,B,6,0,0
SGP105P,SOLD,SGCarMart,105,3,SGP,P,7,0,0
SGW2002C,SOLD,SGCarMart,2002,4,SGW,C,8,0,1
SCU5558D,SOLD,SGCarMart,5558,4,SCU,D,8,0,1
EQ601S,SOLD,SGCarMart,601,3,EQ,S,6,0,0
SFE7J,SOLD,SGCarMart,7,1,SFE,J,5,0,0
ST16A,SOLD,SGCarMart,16,2,ST,A,5,0,0
E5900T,SOLD,SGCarMart,5900,4,E,T,6,0,1
EU9695R,SOLD,SGCarMart,9695,4,EU,R,7,0,0
EH68D,SOLD,SGCarMart,68,2,EH,D,5,0,0
SKA686K,SOLD,SGCarMart,686,3,SKA,K,7,0,0
SKW44Y,SOLD,SGCarMart,44,2,SKW,Y,6,1,1
SGV911Y,SOLD,SGCarMart,911,3,SGV,Y,7,0,1
EY64A,SOLD,SGCarMart,64,2,EY,A,5,0,0
SND79L,SOLD,SGCarMart,79,2,SND,L,6,0,0
SND7U,SOLD,SGCarMart,7,1,SND,U,5,0,0
SBF5555C,SOLD,SGCarMart,5555,4,SBF,C,8,1,1
SDB2088B,SOLD,SGCarMart,2088,4,SDB,B,8,0,1
SDL44M,SOLD,SGCarMart,44,2,SDL,M,6,1,1
SBB41Y,SOLD,SGCarMart,41,2,SBB,Y,6,0,0
EP2062P,SOLD,SGCarMart,2062,4,EP,P,7,0,0
SCY23S,SOLD,SGCarMart,23,2,SCY,S,6,0,0
ET26L,SOLD,SGCarMart,26,2,ET,L,5,0,0
SJA77E,SOLD,SGCarMart,77,2,SJA,E,6,1,1
SBR9168Y,SOLD,SGCarMart,9168,4,SBR,Y,8,0,0
SFT3R,SOLD,SGCarMart,3,1,SFT,R,5,0,0
SJQ1115M,SOLD,SGCarMart,1115,4,SJQ,M,8,0,1
SBM8111T,SOLD,SGCarMart,8111,4,SBM,T,8,0,1
EQ9988S,SOLD,SGCarMart,9988,4,EQ,S,7,0,1
SGC1133U,SOLD,SGCarMart,1133,4,SGC,U,8,0,1
SMU4A,SOLD,SGCarMart,4,1,SMU,A,5,0,0
SKE334E,SOLD,SGCarMart,334,3,SKE,E,7,0,1
SDZ505B,SOLD,SGCarMart,505,3,SDZ,B,7,0,0
SKU7R,SOLD,SGCarMart,7,1,SKU,R,5,0,0
SMX7777R,SOLD,SGCarMart,7777,4,SMX,R,8,1,1
SGS3303Z,SOLD,SGCarMart,3303,4,SGS,Z,8,0,1
SLV717H,SOLD,SGCarMart,717,3,SLV,H,7,0,0
SKJ78T,SOLD,SGCarMart,78,2,SKJ,T,6,0,0
SLA888H,SOLD,SGCarMart,888,3,SLA,H,7,1,1
SJH688E,SOLD,SGCarMart,688,3,SJH,E,7,0,1
SKE1937J,SOLD,SGCarMart,1937,4,SKE,J,8,0,0
SNA88B,SOLD,SGCarMart,88,2,SNA,B,6,1,1
SDS3U,SOLD,SGCarMart,3,1,SDS,U,5,0,0
SNB363B,SOLD,SGCarMart,363,3,SNB,B,7,0,0
SMY88L,SOLD,SGCarMart,88,2,SMY,L,6,1,1
SNE151E,SOLD,SGCarMart,151,3,SNE,E,7,0,0
SMW4444B,SOLD,SGCarMart,4444,4,SMW,B,8,1,1
EE3794L,SOLD,SGCarMart,3794,4,EE,L,7,0,0
SLZ776R,SOLD,SGCarMart,776,3,SLZ,R,7,0,1
SNA46Y,SOLD,SGCarMart,46,2,SNA,Y,6,0,0
SLK54U,SOLD,SGCarMart,54,2,SLK,U,6,0,0
SGB8872D,SOLD,SGCarMart,8872,4,SGB,D,8,0,1
SNE86K,SOLD,SGCarMart,86,2,SNE,K,6,0,0
SBE900C,SOLD,SGCarMart,900,3,SBE,C,7,0,1
SKL8182L,SOLD,SGCarMart,8182,4,SKL,L,8,0,0
SNE38A,SOLD,SGCarMart,38,2,SNE,A,6,0,0
SNE14T,SOLD,SGCarMart,14,2,SNE,T,6,0,0
SNE1001Z,SOLD,SGCarMart,1001,4,SNE,Z,8,0,1
SNE138U,SOLD,SGCarMart,138,3,SNE,U,7,0,0
SND269E,SOLD,SGCarMart,269,3,SND,E,7,0,0
SND526M,SOLD,SGCarMart,526,3,SND,M,7,0,0
SND7000S,SOLD,SGCarMart,7000,4,SND,S,8,0,1
SND36K,SOLD,SGCarMart,36,2,SND,K,6,0,0
SND3888Z,SOLD,SGCarMart,3888,4,SND,Z,8,0,1
SND3388A,SOLD,SGCarMart,3388,4,SND,A,8,0,1
SND11G,SOLD,SGCarMart,11,2,SND,G,6,1,1
SJD566U,SOLD,SGCarMart,566,3,SJD,U,7,0,1
SC23T,SOLD,SGCarMart,23,2,SC,T,5,0,0
EZ7774H,SOLD,SGCarMart,7774,4,EZ,H,7,0,1
GBG8T,SOLD,SGCarMart,8,1,GBG,T,5,0,0
SMZ3883H,SOLD,SGCarMart,3883,4,SMZ,H,8,0,1
SGW332M,SOLD,SGCarMart,332,3,SGW,M,7,0,1
SNC59A,SOLD,SGCarMart,59,2,SNC,A,6,0,0
SNC3888D,SOLD,SGCarMart,3888,4,SNC,D,8,0,1
SNB222A,SOLD,SGCarMart,222,3,SNB,A,7,1,1
SNB14J,SOLD,SGCarMart,14,2,SNB,J,6,0,0
SMZ1000C,SOLD,SGCarMart,1000,4,SMZ,C,8,0,1
SMZ1289L,SOLD,SGCarMart,1289,4,SMZ,L,8,0,0
SMZ3000P,SOLD,SGCarMart,3000,4,SMZ,P,8,0,1
SMP71G,SOLD,SGCarMart,71,2,SMP,G,6,0,0
SNC333H,SOLD,SGCarMart,333,3,SNC,H,7,1,1
EK9051B,SOLD,SGCarMart,9051,4,EK,B,7,0,0
SFL51T,SOLD,SGCarMart,51,2,SFL,T,6,0,0
EN2929A,SOLD,SGCarMart,2929,4,EN,A,7,0,0
SBE9939H,SOLD,SGCarMart,9939,4,SBE,H,8,0,1
SCU3X,SOLD,SGCarMart,3,1,SCU,X,5,0,0
SCK93M,SOLD,SGCarMart,93,2,SCK,M,6,0,0
SLR9393U,SOLD,SGCarMart,9393,4,SLR,U,8,0,0
SKR18A,SOLD,SGCarMart,18,2,SKR,A,6,0,0
SCZ6669J,SOLD,SGCarMart,6669,4,SCZ,J,8,0,1
SMG228U,SOLD,SGCarMart,228,3,SMG,U,7,0,1
