,CarPlate,Price,Company,Number,Number of digits,Front Characters,Suffix characters,Total number of characters,Same digit througout,Sub repeated digits,Auspicious,First Letter,suffix_number,first_letter,Antique,Price Range,Natural_break,number_group
70,SR98Z,280000,Carplate,98,2,SR,Z,5,0,0,1,S,2,18,0,24,21,2
71,SF111G,280000,Carplate,111,3,SF,G,6,1,1,0,S,15,18,0,24,21,2
72,ST828Z,280000,Carplate,828,3,ST,Z,6,0,0,1,S,2,18,0,24,21,8
73,SL22Z,268800,SGCarMart,22,2,SL,Z,5,1,1,0,S,2,18,0,24,20,1
74,SDH1H,268000,Carplate,1,1,SDH,H,5,0,0,0,S,14,18,0,24,20,1
75,SNF1A,258000,SGCarMart,1,1,SNF,A,5,0,0,0,S,1,18,0,24,20,1
76,SL8888P,250000,Carplate,8888,4,SL,P,7,1,1,1,S,9,18,0,24,20,45
77,SL52L,250000,Carplate,52,2,SL,L,5,0,0,0,S,11,18,0,24,20,1
78,S9392J,250000,Carplate,9392,4,S,J,6,0,0,0,S,13,18,0,24,20,48
79,QC888M,249888,SGCarMart,888,3,QC,M,6,1,1,1,Q,10,16,0,24,20,9
80,SC7777E,245000,CarPlateMart,7777,4,SC,E,7,1,1,0,S,16,18,0,24,20,39
81,ES11J,238888,SGCarMart,11,2,ES,J,5,1,1,0,E,13,4,1,24,20,1
82,SV22X,238000,SGCarMart,22,2,SV,X,5,1,1,0,S,4,18,0,24,20,1
83,SY13G,220000,CarPlateMart,13,2,SY,G,5,0,0,0,S,15,18,0,24,19,1
84,EX1111X,211111,CarPlateMart,1111,4,EX,X,7,1,1,0,E,4,4,1,24,19,11
85,SK51U,210000,Carplate,51,2,SK,U,5,0,0,0,S,5,18,0,24,19,1
86,SW1000Y,208000,Carplate,1000,4,SW,Y,7,0,1,0,S,3,18,0,24,19,10
87,SM1111M,200000,SGCarMart,1111,4,SM,M,7,1,1,0,S,10,18,0,23,19,11
88,SF71M,200000,CarPlateMart,71,2,SF,M,5,0,0,0,S,10,18,0,23,19,2
89,SM1111M,199000,Carplate,1111,4,SM,M,7,1,1,0,S,10,18,0,23,19,11
90,SLZ1T,188888,Carplate,1,1,SLZ,T,5,0,0,0,S,6,18,0,23,18,1
91,SDW1D,188888,Carplate,1,1,SDW,D,5,0,0,0,S,17,18,0,23,18,1
92,SDW1D,188888,SGCarMart,1,1,SDW,D,5,0,0,0,S,17,18,0,23,18,1
93,SJF1Y,188000,Carplate,1,1,SJF,Y,5,0,0,0,S,3,18,0,23,18,1
94,SJF1Y,188000,SGCarMart,1,1,SJF,Y,5,0,0,0,S,3,18,0,23,18,1
95,SDP1R,188000,SGCarMart,1,1,SDP,R,5,0,0,0,S,8,18,0,23,18,1
96,SS345E,188000,SGCarMart,345,3,SS,E,6,0,0,0,S,16,18,0,23,18,4
97,SY25Y,188000,SGCarMart,25,2,SY,Y,5,0,0,0,S,3,18,0,23,18,1
98,GG222G,180000,Carplate,222,3,GG,G,6,1,1,0,G,15,6,0,23,18,3
99,SY79S,180000,SGCarMart,79,2,SY,S,5,0,0,0,S,7,18,0,23,18,2
100,E9900S,170000,CarPlateMart,9900,4,E,S,6,0,1,0,E,7,4,1,23,17,50
101,SV71D,168888,Carplate,71,2,SV,D,5,0,0,0,S,17,18,0,23,17,2
102,SE35Z,168000,Carplate,35,2,SE,Z,5,0,0,0,S,2,18,0,23,17,1
103,SP34T,168000,Carplate,34,2,SP,T,5,0,0,0,S,6,18,0,23,17,1
104,EC48M,168000,Carplate,48,2,EC,M,5,0,0,1,E,10,4,1,23,17,1
105,SE728H,168000,Carplate,728,3,SE,H,6,0,0,1,S,14,18,0,23,17,8
106,SP34T,168000,CarPlateMart,34,2,SP,T,5,0,0,0,S,6,18,0,23,17,1
107,SJF1Y,168000,CarPlateMart,1,1,SJF,Y,5,0,0,0,S,3,18,0,23,17,1
108,EY10E,158888,CarPlateMart,10,2,EY,E,5,0,0,0,E,16,4,1,23,17,1
109,EU28B,158000,Carplate,28,2,EU,B,5,0,0,1,E,19,4,1,23,17,1
110,SKG1E,150000,SGCarMart,1,1,SKG,E,5,0,0,0,S,16,18,0,23,16,1
111,SY333H,150000,SGCarMart,333,3,SY,H,6,1,1,0,S,14,18,0,23,16,4
112,E74K,150000,CarPlateMart,74,2,E,K,4,0,0,0,E,12,4,1,23,16,2
113,SQ91Y,149999,Carplate,91,2,SQ,Y,5,0,0,0,S,3,18,0,23,16,2
114,SN44A,144000,Carplate,44,2,SN,A,5,1,1,0,S,1,18,0,23,16,1
115,SQ72C,138888,SGCarMart,72,2,SQ,C,5,0,0,0,S,18,18,0,23,16,2
116,SV54D,138800,SGCarMart,54,2,SV,D,5,0,0,0,S,17,18,0,23,16,1
117,ES28L,138000,Carplate,28,2,ES,L,5,0,0,1,E,11,4,1,23,16,1
118,SBM888M,138000,Carplate,888,3,SBM,M,7,1,1,1,S,10,18,0,23,16,9
119,SFD1E,138000,Carplate,1,1,SFD,E,5,0,0,0,S,16,18,0,23,16,1
120,EW911R,138000,Carplate,911,3,EW,R,6,0,1,0,E,8,4,1,23,16,9
121,ET899J,138000,Carplate,899,3,ET,J,6,0,1,1,E,13,4,1,23,16,9
122,ET899J,138000,Carplate,899,3,ET,J,6,0,1,1,E,13,4,1,23,16,9
123,ES28L,138000,SGCarMart,28,2,ES,L,5,0,0,1,E,11,4,1,23,16,1
124,EH38R,138000,SGCarMart,38,2,EH,R,5,0,0,1,E,8,4,1,23,16,1
125,SY70R,138000,SGCarMart,70,2,SY,R,5,0,0,0,S,8,18,0,23,16,2
126,SP8888T,138000,SGCarMart,8888,4,SP,T,7,1,1,1,S,6,18,0,23,16,45
127,EH38R,138000,CarPlateMart,38,2,EH,R,5,0,0,1,E,8,4,1,23,16,1
128,EU28B,138000,CarPlateMart,28,2,EU,B,5,0,0,1,E,19,4,1,23,16,1
129,SN46U,130000,Carplate,46,2,SN,U,5,0,0,0,S,5,18,0,23,15,1
130,SKC1B,128888,Carplate,1,1,SKC,B,5,0,0,0,S,19,18,0,23,15,1
131,SE9000P,128888,CarPlateMart,9000,4,SE,P,7,0,1,0,S,9,18,0,23,15,46
132,GU5T,128000,Carplate,5,1,GU,T,4,0,0,0,G,6,6,0,23,15,1
133,EY19G,128000,Carplate,19,2,EY,G,5,0,0,0,E,15,4,1,23,15,1
134,EY82Y,128000,Carplate,82,2,EY,Y,5,0,0,1,E,3,4,1,23,15,2
135,SS444C,128000,CarPlateMart,444,3,SS,C,6,1,1,0,S,18,18,0,23,15,5
136,EY82Y,128000,CarPlateMart,82,2,EY,Y,5,0,0,1,E,3,4,1,23,15,2
137,SY5555B,125000,Carplate,5555,4,SY,B,7,1,1,0,S,19,18,0,23,15,30
138,SW85J,125000,SGCarMart,85,2,SW,J,5,0,0,1,S,13,18,0,23,15,2
139,EG400H,120000,Carplate,400,3,EG,H,6,0,1,0,E,14,4,1,23,15,5
140,SKW1X,118000,SGCarMart,1,1,SKW,X,5,0,0,0,S,4,18,0,23,15,1
141,SKD1X,113999,SGCarMart,1,1,SKD,X,5,0,0,0,S,4,18,0,23,14,1
142,SP1800S,111888,Carplate,1800,4,SP,S,7,0,1,1,S,7,18,0,23,14,14
143,EL90S,110000,Carplate,90,2,EL,S,5,0,0,0,E,7,4,1,23,14,2
144,EE1001E,108888,Carplate,1001,4,EE,E,7,0,1,0,E,16,4,1,23,14,10
145,SDW5T,108888,Carplate,5,1,SDW,T,5,0,0,0,S,6,18,0,23,14,1
146,SN53Z,108888,SGCarMart,53,2,SN,Z,5,0,0,0,S,2,18,0,23,14,1
147,SBM5U,108888,CarPlateMart,5,1,SBM,U,5,0,0,0,S,5,18,0,23,14,1
148,EV8888C,108888,CarPlateMart,8888,4,EV,C,7,1,1,1,E,18,4,1,23,14,45
149,EC66K,108000,Carplate,66,2,EC,K,5,1,1,0,E,12,4,1,23,14,2
150,SBW7L,108000,Carplate,7,1,SBW,L,5,0,0,0,S,11,18,0,23,14,1
151,SV45E,108000,CarPlateMart,45,2,SV,E,5,0,0,0,S,16,18,0,23,14,1
152,EM6666L,106666,Carplate,6666,4,EM,L,7,1,1,0,E,11,4,1,23,14,34
153,EK300S,103888,Carplate,300,3,EK,S,6,0,1,0,E,7,4,1,23,14,4
154,SNF60D,100666,SGCarMart,60,2,SNF,D,6,0,0,0,S,17,18,0,23,14,2
155,SDB5D,100000,Carplate,5,1,SDB,D,5,0,0,0,S,17,18,0,22,14,1
156,SCK5T,100000,Carplate,5,1,SCK,T,5,0,0,0,S,6,18,0,22,14,1
157,EZ62A,100000,Carplate,62,2,EZ,A,5,0,0,0,E,1,4,1,22,14,2
158,EY20B,100000,Carplate,20,2,EY,B,5,0,0,0,E,19,4,1,22,14,1
159,ST2616E,100000,Carplate,2616,4,ST,E,7,0,0,0,S,16,18,0,22,14,18
160,SFA3R,100000,Carplate,3,1,SFA,R,5,0,0,0,S,8,18,0,22,14,1
161,EG6699Z,100000,Carplate,6699,4,EG,Z,7,0,1,0,E,2,4,1,22,14,34
162,SKK9M,99999,SGCarMart,9,1,SKK,M,5,0,0,0,S,10,18,0,22,14,1
163,EL70A,99000,SGCarMart,70,2,EL,A,5,0,0,0,E,1,4,1,22,14,2
164,SS9090E,99000,SGCarMart,9090,4,SS,E,7,0,0,0,S,16,18,0,22,14,47
165,EX16U,98000,Carplate,16,2,EX,U,5,0,0,0,E,5,4,1,22,14,1
166,SW29Y,98000,CarPlateMart,29,2,SW,Y,5,0,0,0,S,3,18,0,22,14,1
167,ES60S,96000,Carplate,60,2,ES,S,5,0,0,0,E,7,4,1,22,13,2
168,EK91U,91000,Carplate,91,2,EK,U,5,0,0,0,E,5,4,1,22,13,2
169,GK9K,90000,Carplate,9,1,GK,K,4,0,0,0,G,12,6,0,21,13,1
170,SY9999C,90000,Carplate,9999,4,SY,C,7,1,1,0,S,18,18,0,21,13,50
171,SP5555Z,89000,Carplate,5555,4,SP,Z,7,1,1,0,S,2,18,0,21,13,30
172,SAK18E,89000,Carplate,18,2,SAK,E,5,0,0,1,S,16,18,0,21,13,1
173,SFW5U,88888,Carplate,5,1,SFW,U,5,0,0,0,S,5,18,0,21,13,1
174,EE65C,88888,Carplate,65,2,EE,C,5,0,0,0,E,18,4,1,21,13,2
175,SY444X,88888,Carplate,444,3,SY,X,6,1,1,0,S,4,18,0,21,13,5
176,SMZ9K,88888,Carplate,9,1,SMZ,K,5,0,0,0,S,12,18,0,21,13,1
177,EC60B,88888,Carplate,60,2,EC,B,5,0,0,0,E,19,4,1,21,13,2
178,EQ60C,88888,Carplate,60,2,EQ,C,5,0,0,0,E,18,4,1,21,13,2
179,ET85R,88888,Carplate,85,2,ET,R,5,0,0,1,E,8,4,1,21,13,2
180,EG39T,88888,Carplate,39,2,EG,T,5,0,0,0,E,6,4,1,21,13,1
181,SJD999D,88888,Carplate,999,3,SJD,D,7,1,1,0,S,17,18,0,21,13,10
182,EL40L,88888,Carplate,40,2,EL,L,5,0,0,0,E,11,4,1,21,13,1
183,EH56M,88888,SGCarMart,56,2,EH,M,5,0,0,0,E,10,4,1,21,13,1
184,EG39T,88888,CarPlateMart,39,2,EG,T,5,0,0,0,E,6,4,1,21,13,1
185,SV8838G,88838,SGCarMart,8838,4,SV,G,7,0,1,1,S,15,18,0,21,13,45
186,EJ75Y,88000,Carplate,75,2,EJ,Y,5,0,0,0,E,3,4,1,21,13,2
187,SK64H,88000,Carplate,64,2,SK,H,5,0,0,0,S,14,18,0,21,13,2
188,SDT8B,88000,Carplate,8,1,SDT,B,5,0,0,1,S,19,18,0,21,13,1
189,SDQ9P,88000,Carplate,9,1,SDQ,P,5,0,0,0,S,9,18,0,21,13,1
190,SQ905A,88000,Carplate,905,3,SQ,A,6,0,0,0,S,1,18,0,21,13,9
191,E210J,88000,Carplate,210,3,E,J,5,0,0,0,E,13,4,1,21,13,3
192,E510T,88000,Carplate,510,3,E,T,5,0,0,0,E,6,4,1,21,13,6
193,EJ75Y,88000,SGCarMart,75,2,EJ,Y,5,0,0,0,E,3,4,1,21,13,2
194,EE35P,88000,SGCarMart,35,2,EE,P,5,0,0,0,E,9,4,1,21,13,1
195,SQ905A,88000,CarPlateMart,905,3,SQ,A,6,0,0,0,S,1,18,0,21,13,9
196,SGH6J,86000,SGCarMart,6,1,SGH,J,5,0,0,0,S,13,18,0,21,13,1
197,SMM83M,83838,Carplate,83,2,SMM,M,6,0,0,1,S,10,18,0,21,12,2
198,SME33A,83333,Carplate,33,2,SME,A,6,1,1,0,S,1,18,0,21,12,1
199,EJ81D,80888,SGCarMart,81,2,EJ,D,5,0,0,1,E,17,4,1,21,12,2
200,SX150Z,80000,Carplate,150,3,SX,Z,6,0,0,0,S,2,18,0,20,12,3
201,SLM8T,80000,Carplate,8,1,SLM,T,5,0,0,1,S,6,18,0,20,12,1
202,SKN8A,80000,Carplate,8,1,SKN,A,5,0,0,1,S,1,18,0,20,12,1
203,ES3818D,80000,Carplate,3818,4,ES,D,7,0,0,1,E,17,4,1,20,12,24
204,SJJ10A,80000,Carplate,10,2,SJJ,A,6,0,0,0,S,1,18,0,20,12,1
205,GG3Y,80000,Carplate,3,1,GG,Y,4,0,0,0,G,3,6,0,20,12,1
206,SN74M,80000,Carplate,74,2,SN,M,5,0,0,0,S,10,18,0,20,12,2
207,EA60L,80000,SGCarMart,60,2,EA,L,5,0,0,0,E,11,4,1,20,12,2
208,EK90Y,80000,CarPlateMart,90,2,EK,Y,5,0,0,0,E,3,4,1,20,12,2
209,ST57G,80000,CarPlateMart,57,2,ST,G,5,0,0,0,S,15,18,0,20,12,1
210,SGC5M,78888,Carplate,5,1,SGC,M,5,0,0,0,S,10,18,0,20,12,1
211,SKN8A,78800,SGCarMart,8,1,SKN,A,5,0,0,1,S,1,18,0,20,12,1
212,EG93K,78000,Carplate,93,2,EG,K,5,0,0,0,E,12,4,1,20,12,2
213,SGQ3U,78000,Carplate,3,1,SGQ,U,5,0,0,0,S,5,18,0,20,12,1
214,SFE3U,78000,Carplate,3,1,SFE,U,5,0,0,0,S,5,18,0,20,12,1
215,EJ81D,78000,Carplate,81,2,EJ,D,5,0,0,1,E,17,4,1,20,12,2
216,SLA7J,77000,Carplate,7,1,SLA,J,5,0,0,0,S,13,18,0,20,12,1
217,SCL7H,77000,Carplate,7,1,SCL,H,5,0,0,0,S,14,18,0,20,12,1
218,SKK77R,77000,SGCarMart,77,2,SKK,R,6,1,1,0,S,8,18,0,20,12,2
219,SNC6C,73888,Carplate,6,1,SNC,C,5,0,0,0,S,18,18,0,20,12,1
220,EG71Z,71000,Carplate,71,2,EG,Z,5,0,0,0,E,2,4,1,20,11,2
221,SLS7P,70000,SGCarMart,7,1,SLS,P,5,0,0,0,S,9,18,0,19,11,1
222,ER707R,70000,CarPlateMart,707,3,ER,R,6,0,0,0,E,8,4,1,19,11,7
223,SNC6C,69888,SGCarMart,6,1,SNC,C,5,0,0,0,S,18,18,0,19,11,1
224,SNC6C,69888,CarPlateMart,6,1,SNC,C,5,0,0,0,S,18,18,0,19,11,1
225,SJR3D,69444,SGCarMart,3,1,SJR,D,5,0,0,0,S,17,18,0,19,11,1
226,EQ57M,68888,SGCarMart,57,2,EQ,M,5,0,0,0,E,10,4,1,19,11,1
227,SKU3B,68888,SGCarMart,3,1,SKU,B,5,0,0,0,S,19,18,0,19,11,1
228,SK1231K,68888,CarPlateMart,1231,4,SK,K,7,0,0,0,S,12,18,0,19,11,11
229,E115B,68800,SGCarMart,115,3,E,B,5,0,1,0,E,19,4,1,19,11,2
230,SLN7R,68000,Carplate,7,1,SLN,R,5,0,0,0,S,8,18,0,19,11,1
231,EN92B,68000,Carplate,92,2,EN,B,5,0,0,0,E,19,4,1,19,11,2
232,S4121H,68000,Carplate,4121,4,S,H,6,0,0,0,S,14,18,0,19,11,25
233,EE43R,68000,Carplate,43,2,EE,R,5,0,0,0,E,8,4,1,19,11,1
234,SNC8Y,68000,SGCarMart,8,1,SNC,Y,5,0,0,1,S,3,18,0,19,11,1
235,E3008H,68000,SGCarMart,3008,4,E,H,6,0,1,1,E,14,4,1,19,11,20
236,SBG6Z,68000,SGCarMart,6,1,SBG,Z,5,0,0,0,S,2,18,0,19,11,1
237,SBG67Y,67000,Carplate,67,2,SBG,Y,6,0,0,0,S,3,18,0,19,11,2
238,SBG6Z,66888,CarPlateMart,6,1,SBG,Z,5,0,0,0,S,2,18,0,19,11,1
239,EK60J,66666,SGCarMart,60,2,EK,J,5,0,0,0,E,13,4,1,19,11,2
240,EM53U,65000,Carplate,53,2,EM,U,5,0,0,0,E,5,4,1,19,11,1
241,EN53P,65000,Carplate,53,2,EN,P,5,0,0,0,E,9,4,1,19,11,1
242,SGD65J,65000,Carplate,65,2,SGD,J,6,0,0,0,S,13,18,0,19,11,2
243,SDU8X,65000,SGCarMart,8,1,SDU,X,5,0,0,1,S,4,18,0,19,11,1
244,EE130Y,65000,CarPlateMart,130,3,EE,Y,6,0,0,0,E,3,4,1,19,11,2
245,SGF2E,64800,SGCarMart,2,1,SGF,E,5,0,0,0,S,16,18,0,19,11,1
246,EJ93U,63888,Carplate,93,2,EJ,U,5,0,0,0,E,5,4,1,19,11,2
247,SMN3P,63000,SGCarMart,3,1,SMN,P,5,0,0,0,S,9,18,0,19,11,1
248,EF50P,63000,CarPlateMart,50,2,EF,P,5,0,0,0,E,9,4,1,19,11,1
249,EB61D,61000,Carplate,61,2,EB,D,5,0,0,0,E,17,4,1,19,10,2
250,SJQ2L,60800,SGCarMart,2,1,SJQ,L,5,0,0,0,S,11,18,0,19,10,1
251,SLN2D,60000,Carplate,2,1,SLN,D,5,0,0,0,S,17,18,0,18,10,1
252,SLM2J,60000,Carplate,2,1,SLM,J,5,0,0,0,S,13,18,0,18,10,1
253,SLJ7L,60000,Carplate,7,1,SLJ,L,5,0,0,0,S,11,18,0,18,10,1
254,SLN5555S,60000,Carplate,5555,4,SLN,S,8,1,1,0,S,7,18,0,18,10,30
255,EQ57M,60000,Carplate,57,2,EQ,M,5,0,0,0,E,10,4,1,18,10,1
256,ES92A,60000,SGCarMart,92,2,ES,A,5,0,0,0,E,1,4,1,18,10,2
257,SLM2J,60000,CarPlateMart,2,1,SLM,J,5,0,0,0,S,13,18,0,18,10,1
258,SLN2D,60000,CarPlateMart,2,1,SLN,D,5,0,0,0,S,17,18,0,18,10,1
259,EQ2222P,60000,CarPlateMart,2222,4,EQ,P,7,1,1,0,E,9,4,1,18,10,16
260,SP1800S,60000,CarPlateMart,1800,4,SP,S,7,0,1,1,S,7,18,0,18,10,14
261,SBK2M,59800,SGCarMart,2,1,SBK,M,5,0,0,0,S,10,18,0,18,10,1
262,SBY90J,58999,Carplate,90,2,SBY,J,6,0,0,0,S,13,18,0,18,10,2
263,EG14P,58888,Carplate,14,2,EG,P,5,0,0,0,E,9,4,1,18,10,1
264,SGF2E,58888,Carplate,2,1,SGF,E,5,0,0,0,S,16,18,0,18,10,1
265,EB899M,58888,Carplate,899,3,EB,M,6,0,1,1,E,10,4,1,18,10,9
266,EJ58Y,58888,SGCarMart,58,2,EJ,Y,5,0,0,1,E,3,4,1,18,10,2
267,SMD2U,58888,SGCarMart,2,1,SMD,U,5,0,0,0,S,5,18,0,18,10,1
268,SBM88E,58800,Carplate,88,2,SBM,E,6,1,1,1,S,16,18,0,18,10,2
269,SBB6688S,58444,SGCarMart,6688,4,SBB,S,8,0,1,1,S,7,18,0,18,10,34
270,EQ288M,58288,Carplate,288,3,EQ,M,6,0,1,1,E,10,4,1,18,10,4
271,EP37B,58000,Carplate,37,2,EP,B,5,0,0,0,E,19,4,1,18,10,1
272,SBT6E,58000,Carplate,6,1,SBT,E,5,0,0,0,S,16,18,0,18,10,1
273,EL40L,58000,SGCarMart,40,2,EL,L,5,0,0,0,E,11,4,1,18,10,1
274,SNA2Z,58000,SGCarMart,2,1,SNA,Z,5,0,0,0,S,2,18,0,18,10,1
275,SBK88R,58000,CarPlateMart,88,2,SBK,R,6,1,1,1,S,8,18,0,18,10,2
276,SGW2R,58000,CarPlateMart,2,1,SGW,R,5,0,0,0,S,8,18,0,18,10,1
277,ST2616T,57000,CarPlateMart,2616,4,ST,T,7,0,0,0,S,6,18,0,18,10,18
278,SCG6L,56800,SGCarMart,6,1,SCG,L,5,0,0,0,S,11,18,0,18,10,1
279,SFP3L,56800,SGCarMart,3,1,SFP,L,5,0,0,0,S,11,18,0,18,10,1
280,SBM5U,55888,Carplate,5,1,SBM,U,5,0,0,0,S,5,18,0,18,10,1
281,SMA7Y,55800,SGCarMart,7,1,SMA,Y,5,0,0,0,S,3,18,0,18,10,1
